id,gender,subCategory,baseColour,season,usage
51403,Men,Topwear,Navy Blue,Summer,Casual
7347,Men,Topwear,Purple,Fall,Casual
22807,Men,Topwear,Blue,Fall,Casual
16532,Men,Topwear,Blue,Fall,Casual
4085,Men,Topwear,White,Summer,Casual
3457,Men,Shoes,White,Summer,Sports
50553,Men,Innerwear,Grey,Summer,Casual
40524,Men,Watches,White,Winter,Casual
41901,Men,Fragrance,Black,Spring,Casual
36581,Men,Topwear,Black,Summer,Casual
15778,Men,Innerwear,Grey,Summer,Casual
21673,Men,Watches,Silver,Winter,Casual
14621,Men,Topwear,White,Fall,Casual
23926,Men,Shoes,Grey,Summer,Sports
29763,Men,Watches,Black,Winter,Casual
44987,Men,Watches,White,Winter,Casual
23887,Men,Shoes,Black,Summer,Sports
10175,Men,Shoes,Black,Fall,Casual
6938,Men,Topwear,Red,Summer,Casual
26402,Men,Topwear,Purple,Summer,Casual
8832,Men,Topwear,Grey,Fall,Casual
23779,Men,Eyewear,Black,Winter,Casual
5379,Men,Shoes,Beige,Summer,Sports
30301,Men,Topwear,Cream,Summer,Casual
36918,Men,Wallets,Black,Winter,Casual
15795,Men,Innerwear,Charcoal,Summer,Casual
44052,Men,Fragrance,Silver,Spring,Casual
16860,Men,Eyewear,Brown,Winter,Casual
14518,Men,Topwear,Grey,Fall,Formal
16389,Men,Topwear,Maroon,Fall,Formal
50689,Men,Innerwear,Black,Summer,Casual
18974,Men,Topwear,Blue,Summer,Casual
36396,Men,Socks,Multi,Summer,Casual
28331,Men,Sandal,Brown,Winter,Casual
27304,Men,Fragrance,Black,Spring,Casual
31668,Men,Bottomwear,Grey,Summer,Casual
8586,Men,Topwear,Red,Fall,Casual
38317,Men,Wallets,Black,Summer,Casual
11320,Men,Bottomwear,Grey,Fall,Casual
22610,Men,Topwear,Black,Summer,Casual
59128,Men,Topwear,Olive,Summer,Casual
48216,Men,Eyewear,Brown,Winter,Casual
38212,Men,Eyewear,Steel,Winter,Casual
13467,Men,Topwear,White,Summer,Casual
11006,Men,Watches,Black,Winter,Casual
29261,Men,Shoes,White,Summer,Sports
31183,Men,Accessories,Brown,Summer,Casual
26819,Men,Bottomwear,Navy Blue,Summer,Formal
32334,Men,Watches,White,Winter,Casual
58977,Men,Fragrance,Silver,Spring,Casual
11294,Men,Bottomwear,Blue,Spring,Casual
5196,Men,Topwear,Blue,Summer,Casual
5599,Men,Sandal,Black,Summer,Sports
48541,Men,Belts,Brown,Summer,Casual
42983,Men,Innerwear,Blue,Summer,Casual
3096,Men,Topwear,White,Summer,Casual
14833,Men,Belts,Brown,Summer,Casual
41231,Men,Shoes,White,Summer,Sports
31945,Men,Shoes,Black,Summer,Casual
10426,Men,Topwear,Black,Fall,Casual
16549,Men,Topwear,Blue,Fall,Casual
24526,Men,Topwear,Maroon,Fall,Casual
6654,Men,Flip Flops,Brown,Summer,Casual
26585,Men,Shoes,Black,Summer,Sports
28147,Men,Innerwear,White,Fall,Casual
29745,Men,Watches,Black,Winter,Casual
43421,Men,Bottomwear,Navy Blue,Summer,Casual
14920,Men,Topwear,Grey,Fall,Casual
41902,Men,Fragrance,Black,Spring,Casual
28520,Men,Bottomwear,Grey,Summer,Sports
28659,Men,Shoes,Grey,Summer,Sports
16026,Men,Topwear,Purple,Fall,Casual
17219,Men,Eyewear,Brown,Winter,Casual
42975,Men,Innerwear,White,Summer,Casual
44310,Men,Topwear,Navy Blue,Summer,Casual
13507,Men,Topwear,Green,Fall,Casual
23161,Men,Topwear,Navy Blue,Fall,Casual
42598,Men,Topwear,Blue,Summer,Casual
26091,Men,Topwear,Blue,Summer,Formal
26212,Men,Fragrance,Brown,Spring,Casual
8228,Men,Bags,Red,Winter,Casual
40764,Men,Accessories,Black,Summer,Casual
53593,Men,Watches,Black,Winter,Casual
23885,Men,Shoes,Grey,Winter,Sports
37132,Men,Topwear,Blue,Summer,Formal
57943,Men,Shoes,Black,Spring,Casual
13799,Men,Topwear,Purple,Fall,Casual
17221,Men,Eyewear,Blue,Winter,Casual
20894,Men,Shoes,Red,Fall,Casual
23521,Men,Watches,Black,Winter,Casual
4108,Men,Sandal,Navy Blue,Summer,Casual
58295,Men,Socks,Navy Blue,Summer,Sports
26484,Men,Topwear,White,Summer,Casual
32318,Men,Watches,White,Winter,Casual
51339,Men,Socks,Brown,Summer,Casual
22102,Men,Shoes,Grey,Fall,Casual
